code,created_t,product_name,quantity,product_quantity,serving_size,serving_quantity,brands,categories,labels,emb_codes,ingredients_text,ingredients_tags,nutriscore_grade,nutriscore_score,categories_tags,labels_tags,countries_tags,no_nutrition_data,added-sugars_100g,alcohol_100g,alpha-linolenic-acid_100g,biotin_100g,caffeine_100g,calcium_100g,carbohydrates-total_100g,carbohydrates_100g,cholesterol_100g,choline_100g,chromium_100g,copper_100g,docosahexaenoic-acid_100g,eicosapentaenoic-acid_100g,energy-kcal_100g,energy-kj_100g,energy_100g,fat_100g,fiber_100g,fructose_100g,fruits-vegetables-legumes-estimate-from-ingredients_100g,fruits-vegetables-legumes_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fruits-vegetables-nuts_100g,glucose_100g,glycemic-index_100g,iodine_100g,iron_100g,magnesium_100g,maltose_100g,manganese_100g,monounsaturated-fat_100g,nova-group_100g,nutrition-score-fr_100g,omega-3-fat_100g,omega-6-fat_100g,pantothenic-acid_100g,phosphorus_100g,polyols_100g,polyunsaturated-fat_100g,potassium_100g,proteins_100g,salt_100g,saturated-fat_100g,selenium_100g,sodium_100g,starch_100g,sucrose_100g,sugars_100g,taurine_100g,trans-fat_100g,vitamin-a_100g,vitamin-b12_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-c_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-pp_100g,zinc_100g
00000183,1666898332,Chaga Tea,,,1.5g,1.5,Lake Baikal,en:teas,,,,,unknown,,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas",,en:romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000184,1677325898,Melody,,,30 g,30,Optimum Nutrition,Compléments alimentaires,Sans lactose,,"INGRÉDIENTS (3 gélules) : hydrolysats de collagène marin désodorisés (poisson) 900 mg, tunique d'origine végétale : hydroxypropylméthylcellulose, extrait de fruits d'acérola (Malpighia glabra) (240 mg) standardisée en vitamine C (60 mg, 75% des VNR*) (maltodextrine), D-alpha-tocophérol (Soja) (équivalent en vitamine E : 12 mg, 100% des VNR*), extrait de riz, B-carotène de Blakeslea trispora (0,72 mg de béta-carotène équivalent en vitamine A: 120 µg, 15% des VNR*). *Valeurs Nutrutionnels de Références. Origine végétale.","fr:ingredients,fr:tunique,fr:extrait-de-fruits-d-acerola,en:e300,en:e307a,en:rice-extract,en:extract,en:rice,en:vegetable-extract,fr:b-carotene-de-blakeslea-trispora,fr:valeurs-nutrutionnels-de-references,fr:3-gelules,fr:hydrolysats-de-collagene-marin-desodorises,en:e464,fr:malpighia-glabra,fr:vnr,en:maltodextrin,fr:0-72-mg-de-beta-carotene-equivalent-en-vitamine-a,fr:120-g",not-applicable,,en:dietary-supplements,en:no-lactose,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000185,1641860439,MagnesiumMG,,,0.76 g,0.76,GloryFeel,en:dietary-supplements,"Bio, Vegetarisch, Glutenfrei, Vegan",,,,d,15,en:dietary-supplements,"en:no-gluten,en:organic,en:vegetarian,en:vegan",en:united-states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000186,1586519129,Yaourt au chocolat,,,,,,Desserts lactés au chocolat,,,,,c,4,"en:dairies,en:desserts,en:dairy-desserts,en:chocolate-desserts,en:dairy-chocolate-desserts",,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000187,1635514684,"Popcorn, Baby White",300ml,300,39 g,39,Amish Country,Parfüm,Ohne Zuckerzusatz,,,,unknown,,de:parfüm,en:no-added-sugar,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000188,1648981591,Sablé aux pépites de chocolat,125 g,125,,,,en:shortbread-cookies,"Sans arômes artificiels, Sans conservateurs, Sans colorants",,,,e,31,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,en:shortbread-cookies","en:no-artificial-flavors,en:no-preservatives,en:no-colorings",en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000189,1649150076,Vegan Protein Mango,1pcs,0,,,Alpha Foods,"Compléments alimentaires, Compléments pour le Bodybuilding, Protéines en poudre","Végétarien, Végétalien",,"74,2 % d'isolat de protéines de pois. 15% de concentré de protéines de riz. mélange d'arômes (dextrose, acide (acide citrique), arôme naturel, arôme, colorant (beta-carotène), édulcorant (saccharine de sodium)), arôme naturel, épaississant (gomme de guar), arôme. colorant (bêta - carotène), édulcorant (sucralose). Ce produit contien 20 portions.","en:pea-protein-isolate,en:protein,en:plant-protein,en:pea-protein,en:rice-protein,fr:melange-d-aromes,en:natural-flavouring,en:flavouring,en:thickener,en:colour,en:sweetener,fr:ce-produit-contien-20-portions,en:dextrose,en:added-sugar,en:monosaccharide,en:glucose,en:acid,en:e412,en:beta-carotene-dye,en:e160a,en:e160ai,en:e955,en:e330,en:e954",not-applicable,,"en:dietary-supplements,en:bodybuilding-supplements,en:protein-powders","en:vegetarian,en:vegan",en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000190,1620425768,AM & PM,,,,,,,Prodotto in Italia,,,,unknown,,,en:made-in-italy,en:italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000191,1624825719,Mix fruits rojos,,,100.0g,100,Zitromac,Dietary supplements,,,,,unknown,,en:dietary-supplements,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000192,1732513997,Planin,,,5.0g,5,levadura madre,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
